,Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),Slump(mm),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
174,48.2,8.4,28,26.5,9.0,3.23,0.44,0.44,170.0,34.0,135.0,52.4,3.47
175,48.2,8.4,28,26.5,13.0,3.23,0.44,0.44,170.0,34.0,90.0,53.5,3.18
176,48.2,8.4,28,26.5,5.0,3.23,0.36,0.36,170.0,32.0,95.0,59.9,3.51
177,48.2,8.4,28,26.5,9.0,3.23,0.36,0.36,170.0,32.0,85.0,57.2,5.24
178,48.2,8.4,28,26.5,13.0,3.23,0.36,0.36,170.0,32.0,70.0,59.6,4.53
179,48.2,8.4,28,26.5,5.0,3.23,0.31,0.31,170.0,30.0,35.0,68.2,3.62
180,48.2,8.4,28,26.5,9.0,3.23,0.31,0.31,170.0,30.0,20.0,68.3,3.99
181,48.2,8.4,28,26.5,13.0,3.23,0.31,0.31,170.0,30.0,25.0,66.0,4.36
182,46.3,8.4,28,26.5,6.75,3.19,0.56,0.56,170.0,42.0,,39.2,3.47
183,46.3,8.4,28,26.5,6.75,3.19,0.44,0.44,180.0,32.0,,50.1,3.77
184,46.3,8.4,28,26.5,6.75,3.19,0.32,0.32,170.0,28.0,,59.1,4.31
185,48.3,7.4,28,25.0,7.5,2.9,0.51,1.01,222.0,45.0,,57.0,2.87
186,,,28,30.0,4.3,3.0,0.25,0.33,150.0,41.0,,74.4,5.41
187,,,60,30.0,4.3,3.0,0.25,0.33,150.0,41.0,,84.5,6.37
188,,,90,30.0,4.3,3.0,0.25,0.33,150.0,41.0,,94.1,6.5
189,,,120,30.0,4.3,3.0,0.25,0.33,150.0,41.0,,100.5,6.65
190,,,28,31.5,5.8,3.1,0.42,0.42,185.0,36.0,36.0,38.3,3.04
