Compressive strength of cementfce(MPa),Tensile strength of cementfct(MPa),Curing age (day),Dmax of Crushed stone(mm),Stone powder content in Sand (%),Fineness modulus of sand ,W/B,Water to cement ratio mw/mc,Water(kg/m3),Sand ratio(%),"Compressive strengthfcu,t(MPa)","Splitting tensile strengthfst,t(MPa)"
47.7,8.7,28.0,26.5,3.0,3.23,0.32,0.32,170.0,30.0,62.6,4.57
47.7,8.7,28.0,26.5,7.0,3.23,0.32,0.32,170.0,30.0,63.1,5.16
47.7,8.7,28.0,26.5,13.0,3.23,0.32,0.32,170.0,30.0,59.9,5.32
48.2,8.4,28.0,26.5,5.0,3.23,0.55,0.55,160.0,38.0,43.4,2.96
48.2,8.4,28.0,26.5,9.0,3.23,0.55,0.55,160.0,38.0,44.2,3.45
48.2,8.4,28.0,26.5,13.0,3.23,0.55,0.55,160.0,38.0,43.2,3.2
48.2,8.4,28.0,26.5,5.0,3.23,0.44,0.44,170.0,34.0,55.0,3.3
48.2,8.4,28.0,26.5,9.0,3.23,0.44,0.44,170.0,34.0,52.4,3.47
48.2,8.4,28.0,26.5,13.0,3.23,0.44,0.44,170.0,34.0,53.5,3.18
48.2,8.4,28.0,26.5,5.0,3.23,0.36,0.36,170.0,32.0,59.9,3.51
48.2,8.4,28.0,26.5,9.0,3.23,0.36,0.36,170.0,32.0,57.2,5.24
48.2,8.4,28.0,26.5,13.0,3.23,0.36,0.36,170.0,32.0,59.6,4.53
48.2,8.4,28.0,26.5,5.0,3.23,0.31,0.31,170.0,30.0,68.2,3.62
48.2,8.4,28.0,26.5,9.0,3.23,0.31,0.31,170.0,30.0,68.3,3.99
48.2,8.4,28.0,26.5,13.0,3.23,0.31,0.31,170.0,30.0,66.0,4.36
46.3,8.4,28.0,26.5,6.75,3.19,0.56,0.56,170.0,42.0,39.2,3.47
46.3,8.4,28.0,26.5,6.75,3.19,0.44,0.44,180.0,32.0,50.1,3.77
46.3,8.4,28.0,26.5,6.75,3.19,0.32,0.32,170.0,28.0,59.1,4.31
